"Date","Open","High","Low","Close","Volume","Market Cap"
"23-07-2018",0.169526,0.179393,0.164028,0.164028,147071008,4252765526
"22-07-2018",0.163874,0.177814,0.163061,0.170277,139332992,4414783790
"21-07-2018",0.161994,0.168841,0.155729,0.163637,125996000,4242628042
"20-07-2018",0.179893,0.18265,0.161644,0.162175,215667008,4204722665
"19-07-2018",0.178986,0.189499,0.172312,0.180869,216980992,4689403321
"18-07-2018",0.170299,0.19293,0.170299,0.179378,323366016,4650746059
"17-07-2018",0.154915,0.174619,0.150379,0.170865,133441000,4430028907
"16-07-2018",0.142277,0.156755,0.140978,0.156118,90578096,4047682398
"15-07-2018",0.137029,0.145511,0.135277,0.142262,50143900,3688436909
"14-07-2018",0.138365,0.139891,0.133851,0.137092,55022100,3554393954
"13-07-2018",0.127299,0.141729,0.126027,0.137887,92778496,3575005975
"12-07-2018",0.13156,0.13156,0.123154,0.127181,37623900,3297430758
"11-07-2018",0.128801,0.133925,0.126466,0.131483,50179700,3408969016
"10-07-2018",0.139729,0.140654,0.128792,0.128792,62318800,3339199269
"09-07-2018",0.145345,0.146111,0.139948,0.139971,42768500,3629037990
"08-07-2018",0.149953,0.151385,0.144762,0.145389,48142400,3769510858
"07-07-2018",0.146257,0.150373,0.138904,0.150373,47965500,3898731378
"06-07-2018",0.148749,0.148749,0.139473,0.146084,69138800,3787530172
"05-07-2018",0.151597,0.154572,0.145104,0.148921,73881296,3861085272
"04-07-2018",0.1502,0.159904,0.146883,0.15096,86594896,3913950568
"03-07-2018",0.158522,0.166687,0.149461,0.150655,108280000,3906042812
"02-07-2018",0.142591,0.161936,0.138639,0.158278,161860000,4103684871
"01-07-2018",0.138264,0.145731,0.133866,0.142208,108733000,3687036847
"30-06-2018",0.126036,0.138372,0.126036,0.137671,104599000,3569405728
"29-06-2018",0.119397,0.127436,0.114674,0.12572,65802200,3259551308
"28-06-2018",0.127393,0.128503,0.118498,0.11932,42250100,3093618057
"27-06-2018",0.126551,0.128,0.123925,0.127444,37072400,3304249578
"26-06-2018",0.135623,0.136055,0.126099,0.126099,32927500,3269377668
"25-06-2018",0.132321,0.138254,0.128556,0.135269,57752100,3507128905
"24-06-2018",0.138355,0.138592,0.121962,0.132703,73037504,3440600042
"23-06-2018",0.140334,0.143279,0.134852,0.137868,38721800,3574513361
"22-06-2018",0.15846,0.159019,0.137429,0.139839,79062000,3625615617
"21-06-2018",0.162051,0.163757,0.157551,0.158556,41237700,4110892596
"20-06-2018",0.166781,0.167331,0.156797,0.161985,83625600,4199796521
"19-06-2018",0.164702,0.169903,0.162117,0.167185,69854400,4334617288
"18-06-2018",0.161122,0.167511,0.156708,0.164117,55507800,4255073035
"17-06-2018",0.163137,0.164477,0.161027,0.16138,35748800,4184110643
"16-06-2018",0.162741,0.164628,0.159856,0.162962,42213400,4225127269
"15-06-2018",0.172218,0.172218,0.161929,0.162747,73950496,4219552949
"14-06-2018",0.16025,0.176521,0.155369,0.172375,199562000,4469178784
"13-06-2018",0.166136,0.166818,0.151204,0.160408,99731600,4158909531
"12-06-2018",0.181348,0.182888,0.162788,0.166585,82885904,4319061046
"11-06-2018",0.176262,0.181937,0.167893,0.18128,89350704,4700059347
"10-06-2018",0.201517,0.201517,0.171129,0.176868,137836000,4585669112
"09-06-2018",0.20526,0.209668,0.202091,0.202091,51481400,5239627612
"08-06-2018",0.210831,0.210841,0.202634,0.205358,68728600,5324331352
"07-06-2018",0.216105,0.219351,0.209573,0.211119,76949400,5473697205
"06-06-2018",0.220565,0.220862,0.210708,0.215721,84766304,5593013584
"05-06-2018",0.214247,0.221728,0.204815,0.220467,119846000,5716063460
"04-06-2018",0.228155,0.231228,0.21229,0.214012,115605000,5548704220
"03-06-2018",0.2277,0.236761,0.225118,0.228154,117208000,5915364852
"02-06-2018",0.222701,0.229531,0.219242,0.227742,116435000,5904682898
"01-06-2018",0.224533,0.229184,0.216955,0.222507,130538000,5768954684
"31-05-2018",0.210393,0.230057,0.206205,0.225214,202076000,5839139264
"30-05-2018",0.203685,0.218023,0.201184,0.211143,222612000,5474319455
"29-05-2018",0.175475,0.208739,0.174153,0.20319,185184000,5268121463
"28-05-2018",0.193696,0.194977,0.174002,0.174783,95106200,4531611170
"27-05-2018",0.196354,0.196436,0.192322,0.193557,58991000,5018365992
"26-05-2018",0.199761,0.205492,0.195895,0.196567,60616400,5096406474
"25-05-2018",0.20906,0.210636,0.19732,0.200655,83368000,5202396339
"24-05-2018",0.203324,0.213302,0.193109,0.208989,127678000,5418472545
"23-05-2018",0.224393,0.22615,0.198798,0.202873,124268000,5259902581
"22-05-2018",0.249397,0.250076,0.223408,0.224408,78363296,5818242045
"21-05-2018",0.25613,0.261169,0.247134,0.24884,85090304,6451692233
"20-05-2018",0.243143,0.260785,0.240974,0.256136,101310000,6640856139
"19-05-2018",0.246199,0.248354,0.238934,0.243271,57778000,6307304377
"18-05-2018",0.242816,0.246809,0.234781,0.245544,79212200,6366236608
"17-05-2018",0.257352,0.263111,0.242194,0.243664,83683800,6317493716
"16-05-2018",0.259082,0.260186,0.24372,0.256375,108749000,6647052709
"15-05-2018",0.274269,0.27876,0.257697,0.260155,97408800,6745057036
"14-05-2018",0.285852,0.286088,0.261086,0.273434,161643008,7089342605
"13-05-2018",0.27164,0.290151,0.264361,0.28589,179522000,7412290196
"12-05-2018",0.262649,0.28341,0.241278,0.270932,255480992,7024473075
"11-05-2018",0.296797,0.299462,0.248137,0.260127,348752000,6744331078
"10-05-2018",0.323879,0.327908,0.296317,0.297089,122958000,7702647459
"09-05-2018",0.328426,0.328426,0.304458,0.323593,178122000,8389818537
"08-05-2018",0.335595,0.348219,0.323071,0.328352,142455008,8513205465
"07-05-2018",0.349948,0.349948,0.323506,0.335176,171384992,8690131795
"06-05-2018",0.365933,0.365933,0.341467,0.350021,148186000,9075019157
"05-05-2018",0.361318,0.373605,0.360962,0.366338,139447008,9498071167
"04-05-2018",0.370777,0.370777,0.350842,0.360182,171266000,9338464121
"03-05-2018",0.371926,0.389749,0.368789,0.369709,300814016,9585471322
"02-05-2018",0.357602,0.376704,0.349324,0.37242,272855008,9655759610
"01-05-2018",0.342953,0.363261,0.323701,0.358693,365521984,9299858712
"30-04-2018",0.364297,0.364297,0.336625,0.343318,298712000,8901230003
"29-04-2018",0.36067,0.387901,0.347508,0.365057,671886976,9464858589
"28-04-2018",0.28713,0.364954,0.28713,0.357874,636742016,9278624442
"27-04-2018",0.294589,0.307469,0.287786,0.288489,197183008,7479674652
"26-04-2018",0.270795,0.294972,0.259865,0.294295,220715008,7630207224
"25-04-2018",0.312805,0.312805,0.265164,0.271654,351596000,7043192420
"24-04-2018",0.288539,0.318699,0.287331,0.312875,369016992,8111932195
"23-04-2018",0.285558,0.289623,0.283558,0.288473,127213000,7479259819
"22-04-2018",0.287488,0.296879,0.280765,0.285535,160968000,7403086086
"21-04-2018",0.302292,0.307552,0.272684,0.29058,294632992,7533888157
"20-04-2018",0.270986,0.301641,0.269697,0.301247,349348992,7810452218
"19-04-2018",0.267493,0.273836,0.260818,0.272358,240910000,7061445078
"18-04-2018",0.242734,0.262368,0.242734,0.260341,181118000,6749879471
"17-04-2018",0.25509,0.272641,0.242771,0.243724,520975008,6319049340
"16-04-2018",0.221889,0.256646,0.211808,0.256646,678780992,6654078945
"15-04-2018",0.201389,0.223444,0.19994,0.22139,169798000,5739994146
"14-04-2018",0.198675,0.206495,0.194708,0.200853,113212000,5207529899
"13-04-2018",0.211632,0.218382,0.196567,0.200532,230412992,5199207309
"12-04-2018",0.166757,0.214525,0.16453,0.212233,488007008,5502579961
"11-04-2018",0.156761,0.166431,0.154079,0.166029,91793296,4304645594
"10-04-2018",0.15324,0.15782,0.149316,0.156347,55981300,4053619697
"09-04-2018",0.157094,0.165656,0.147478,0.153106,93021904,3969590062
"08-04-2018",0.148825,0.158452,0.148825,0.156599,51093100,4060153319
"07-04-2018",0.144885,0.151469,0.143829,0.148794,48205400,3857792534
"06-04-2018",0.148394,0.150481,0.14183,0.144451,51827500,3745191266
"05-04-2018",0.155592,0.156204,0.143742,0.148758,113407000,3856859159
"04-04-2018",0.171158,0.179172,0.153626,0.155356,154800992,4027925971
"03-04-2018",0.157864,0.173438,0.155254,0.172447,155987008,4471045533
"02-04-2018",0.151691,0.158797,0.14859,0.156385,102697000,4054604926
"01-04-2018",0.156597,0.160825,0.141343,0.150768,100833000,3908972571
"31-03-2018",0.147115,0.160559,0.144857,0.155919,113124000,4042522911
"30-03-2018",0.146654,0.151782,0.136317,0.147209,119874000,3816698127
"29-03-2018",0.160143,0.160614,0.145712,0.146882,103465000,3808219975
"28-03-2018",0.155196,0.165599,0.154465,0.160058,60260800,4149835056
"27-03-2018",0.168215,0.169225,0.150164,0.154926,107510000,4016777330
"26-03-2018",0.18396,0.185421,0.161128,0.167806,117497000,4350717999
"25-03-2018",0.188396,0.189128,0.1817,0.184605,59349400,4786266857
"24-03-2018",0.188844,0.20119,0.183017,0.189201,132660000,4905427673
"23-03-2018",0.202298,0.202812,0.181424,0.189259,148850000,4906931443
"22-03-2018",0.215403,0.221969,0.192132,0.203481,201540000,5275666240
"21-03-2018",0.205315,0.227502,0.201448,0.213189,257686000,5527366241
"20-03-2018",0.193447,0.212004,0.180294,0.204947,249683008,5313675326
"19-03-2018",0.160749,0.197648,0.156935,0.197648,321964000,5124433638
"18-03-2018",0.153931,0.161959,0.127046,0.156155,189688992,4048641700
"17-03-2018",0.17877,0.17916,0.153132,0.154763,81096600,4012551218
"16-03-2018",0.186788,0.186788,0.175057,0.178878,97455296,4637782524
"15-03-2018",0.198755,0.201611,0.172485,0.185709,204232992,4814890343
"14-03-2018",0.22343,0.233147,0.196005,0.199562,144156000,5174058051
"13-03-2018",0.22311,0.229146,0.215402,0.223026,98868704,5782410834
"12-03-2018",0.224104,0.237342,0.219654,0.223722,184250000,5800456075
"11-03-2018",0.209721,0.227322,0.198153,0.223498,161362000,5794648411
"10-03-2018",0.225216,0.226558,0.208859,0.209873,129138000,5441392075
"09-03-2018",0.221286,0.225115,0.191804,0.222207,246848992,5761176563
"08-03-2018",0.24816,0.254354,0.221131,0.221743,167808992,5749146402
"07-03-2018",0.284674,0.287598,0.236256,0.247281,190792992,6411271930
"06-03-2018",0.295947,0.303019,0.283993,0.285357,110305000,7398471068
"05-03-2018",0.299897,0.317723,0.291055,0.297622,202675008,7716466588
"04-03-2018",0.296285,0.303588,0.286193,0.300787,94436000,7798525766
"03-03-2018",0.292952,0.309129,0.292507,0.297106,115320000,7703088219
"02-03-2018",0.304424,0.307058,0.288875,0.293504,107240000,7609698911
"01-03-2018",0.311973,0.311973,0.288392,0.304397,184691008,7892122491
"28-02-2018",0.334486,0.336163,0.312563,0.312581,114757000,8104309636
"27-02-2018",0.339132,0.341189,0.330971,0.335536,106757000,8699465540
"26-02-2018",0.345272,0.346955,0.32221,0.338335,201812992,8772035410
"25-02-2018",0.322152,0.354572,0.314411,0.344033,247808000,8919767858
"24-02-2018",0.343668,0.352488,0.316064,0.322966,133524000,8373562263
"23-02-2018",0.334758,0.35124,0.322811,0.345258,222508992,8951528520
"22-02-2018",0.362651,0.372116,0.330518,0.337871,208342000,8760005250
"21-02-2018",0.375593,0.383513,0.363394,0.364441,242378000,9448887514
"20-02-2018",0.390942,0.404329,0.377539,0.378779,281249984,9820629851
"19-02-2018",0.38693,0.396608,0.386224,0.391472,169966000,10149722158
"18-02-2018",0.418355,0.42001,0.380787,0.385618,251314000,9997945087
"17-02-2018",0.402403,0.428074,0.401056,0.419883,341415008,10886336159
"16-02-2018",0.410142,0.412404,0.392676,0.40381,192420000,10469610354
"15-02-2018",0.394671,0.416687,0.389937,0.409368,348342016,10613713012
"14-02-2018",0.373766,0.401321,0.370393,0.396908,299008992,10290661713
"13-02-2018",0.383436,0.387018,0.35992,0.373314,225695008,9678938411
